idx,act_tor,tar_tor,act_pos,tar_pos,diff_pos,tar_vel,act_vel,calc_vel,tar_accel,tar_power(W),act_power(W)
0,0.000,87.725,-0.001,0.000,0.000,56.549,0.000,-4.120,-113.097,86.581,0.000
1,-0.110,87.725,-0.002,0.014,-0.002,56.531,-1.030,-4.120,-113.082,86.554,0.002
2,-0.110,87.725,-0.002,0.028,-0.016,56.514,0.000,1.373,-113.067,86.527,-0.000
3,0.000,87.725,-0.001,0.042,-0.029,56.496,-1.030,2.747,-113.051,86.501,-0.000
4,-0.110,87.725,-0.003,0.057,-0.046,56.479,-2.403,-9.613,-113.036,86.474,0.005
5,-0.110,87.725,-0.002,0.071,-0.058,56.461,0.000,6.866,-113.021,86.447,-0.000
6,-0.219,87.725,-0.003,0.085,-0.073,56.444,-1.030,-4.120,-113.005,86.420,0.004
7,-0.329,87.725,-0.002,0.099,-0.087,56.426,-1.030,2.747,-112.990,86.393,0.006
8,-0.439,87.725,0.000,0.113,-0.099,56.409,3.433,8.240,-112.975,86.367,-0.026
9,-0.548,87.725,-0.001,0.127,-0.114,56.391,0.000,-4.120,-112.959,86.340,-0.000
10,-0.658,87.725,0.001,0.141,-0.126,56.374,3.433,6.866,-112.944,86.313,-0.039
11,-0.658,87.725,0.001,0.155,-0.140,56.356,3.433,2.747,-112.929,86.286,-0.039
12,-0.768,87.725,0.001,0.169,-0.155,56.339,0.000,-2.747,-112.914,86.259,-0.000
13,-0.877,87.725,0.000,0.183,-0.169,56.321,1.030,-2.747,-112.898,86.233,-0.016
14,-0.987,87.725,0.003,0.197,-0.180,56.304,2.747,13.733,-112.883,86.206,-0.047
15,-1.097,87.725,0.004,0.212,-0.194,56.286,2.403,1.373,-112.868,86.179,-0.046
16,-1.206,87.725,0.004,0.226,-0.208,56.269,3.090,0.000,-112.852,86.152,-0.065
17,-1.426,87.725,0.005,0.240,-0.220,56.251,5.150,5.493,-112.837,86.126,-0.128
18,-1.535,87.725,0.010,0.254,-0.230,56.234,6.523,19.226,-112.822,86.099,-0.175
19,-1.535,87.725,0.008,0.268,-0.246,56.216,4.463,-6.866,-112.807,86.072,-0.120
20,-1.645,87.725,0.012,0.282,-0.256,56.199,8.240,15.106,-112.791,86.045,-0.237
21,-1.754,87.725,0.013,0.296,-0.268,56.181,8.240,5.493,-112.776,86.019,-0.252
22,-1.645,87.725,0.016,0.310,-0.280,56.164,6.180,10.986,-112.761,85.992,-0.177
23,-1.645,87.725,0.020,0.324,-0.290,56.146,11.330,13.733,-112.746,85.965,-0.325
24,-1.426,87.725,0.022,0.338,-0.302,56.129,9.956,9.613,-112.730,85.938,-0.248
25,-1.097,87.725,0.025,0.352,-0.313,56.111,11.330,10.986,-112.715,85.912,-0.217
26,-0.658,87.725,0.029,0.366,-0.323,56.094,12.703,16.479,-112.700,85.885,-0.146
27,-0.110,87.725,0.032,0.380,-0.334,56.077,12.360,12.360,-112.685,85.858,-0.024
28,0.658,87.725,0.035,0.394,-0.345,56.059,13.390,13.733,-112.670,85.832,0.154
29,1.535,87.725,0.041,0.408,-0.354,56.042,15.793,20.599,-112.654,85.805,0.423
30,2.632,87.725,0.042,0.422,-0.366,56.024,13.390,6.866,-112.639,85.778,0.615
31,4.057,87.725,0.048,0.436,-0.374,56.007,16.136,23.346,-112.624,85.751,1.143
32,5.812,87.725,0.052,0.450,-0.384,55.989,16.823,16.479,-112.609,85.725,1.706
33,7.786,87.725,0.058,0.464,-0.392,55.972,17.509,23.346,-112.594,85.698,2.379
34,10.088,87.725,0.063,0.478,-0.401,55.955,20.599,19.226,-112.578,85.671,3.627
35,12.830,87.725,0.069,0.492,-0.409,55.937,21.286,26.093,-112.563,85.645,4.766
